source_col,input_cols,target_col
Number of episode,Club<|>Position in 2012<|>First season<|>Number of seasons<|>First season of current spell<|>Titles<|>Last title,Number of seasons
Last season,Club<|>Position in 2012<|>First season<|>Number of seasons<|>First season of current spell<|>Titles<|>Last title,First season
Day 5,Day<|>Stage<|>Time (CET)<|>Name<|>Length<|>Winner<|>Time<|>Avg. spd.<|>Rally leader,Day
Start Time,Day<|>Stage<|>Time (CET)<|>Name<|>Length<|>Winner<|>Time<|>Avg. spd.<|>Rally leader,Time
Time to ft (m) at 25° (seconds),Day<|>Stage<|>Time (CET)<|>Name<|>Length<|>Winner<|>Time<|>Avg. spd.<|>Rally leader,Time (CET)
Opponent in the Final,Outcome<|>Date<|>Tournament<|>Surface<|>Partner<|>Score in the final,Score in the final
Year ended,Year<|>Name<|>Country<|>Language(s)<|>Literary tradition,Year
On air date,Episode<|>Air Date<|>Timeslot<|>Households (Rating/Share)<|>18-49 (Rating/Share)<|>Viewers (m)<|>Weekly Rank (#),Air Date
Season episode,Episode<|>Air Date<|>Timeslot<|>Households (Rating/Share)<|>18-49 (Rating/Share)<|>Viewers (m)<|>Weekly Rank (#),Episode
Last season,Season<|>Division<|>League Apps (Sub)<|>League Goals<|>FA Cup Apps (Sub)<|>FA Cup Goals<|>FL Cup Apps (Sub)<|>FL Cup Goals<|>Other Apps<|>Other Goals<|>Total Apps (Sub)<|>Total Goals,Season
Year ended,Perpetrator<|>Date<|>Year<|>Location<|>Country<|>Killed<|>Additional Notes,Year
Year ended,Name<|>Date<|>Year<|>Country<|>Killed<|>Injured,Year
Year ended,Name<|>Date<|>Year<|>Location<|>Killed<|>Injured,Year
"Median household income 1,000,000",County<|>Population<|>Per capita income<|>Median household income<|>Median family income,Median household income
Year ended,Year<|>Winners<|>Location<|>Event Director<|>Winner's Prize,Year
Year [A ],Year (Ceremony)<|>Film title used in nomination<|>Spanish title<|>Director<|>Result,Year (Ceremony)
Last season,Name<|>Season<|>Games<|>Goals<|>Assists<|>Points,Season
"2001 number (,000)",Rank<|>Constituency<|>Winning party 2003<|>Swing to gain<|>Labour's place 2003<|>Result,Labour's place 2003
Start Time,Elimination<|>Wrestler<|>Team<|>Eliminated by<|>Elimination Move<|>Time,Time
Start Time,Date<|>Track<|>Race<|>Purse<|>Finish<|>Time<|>Last 1/4<|>Odds<|>Driver<|>Trainer,Time
Year [A ],Station<|>Year opened<|>Metropolitan borough [c ]<|>Zone<|>Servedby Route maps:- [ dead link ] [ dead link ]<|>Station users 2006–07<|>Station users 2007–08,Servedby Route maps:- [ dead link ] [ dead link ]
prize money ( € ),Dates<|>Tournament<|>Location<|>Prize fund ( ￥ )<|>Winner<|>OWGR pts,Prize fund ( ￥ )
Super B Capacity Reached [ citation needed ],Season<|>Episodes<|>Season premiere<|>Season finale<|>Peak Series rating[ citation needed ]<|>Average series rating<|>DVD release date<|>Discs,Peak Series rating[ citation needed ]
Release date,Season<|>Episodes<|>Season premiere<|>Season finale<|>Peak Series rating[ citation needed ]<|>Average series rating<|>DVD release date<|>Discs,DVD release date
Last season,Season<|>Episodes<|>Season premiere<|>Season finale<|>Peak Series rating[ citation needed ]<|>Average series rating<|>DVD release date<|>Discs,Season
Year ended,Year<|>League<|>Reg. Season<|>Finish<|>Owner(s)<|>Attendance Average<|>Slogan,Year
Draw %,Name<|>NT Career<|>Played<|>Drawn<|>Lost<|>Win %<|>Drawn %<|>Lost %,Drawn %
Year ended,Year<|>Song<|>Album appearance<|>Album artist<|>Notes,Year
Date (Opening),Carrier<|>Standard<|>Frequency<|>(down)<|>(up)<|>Launch date (dd.mm.yyyy),Launch date (dd.mm.yyyy)
Date (Opening),Carrier<|>Standard<|>Frequency<|>Connection speed<|>Launch date (dd.mm.yyyy),Launch date (dd.mm.yyyy)
"June 14, 2009","Party<|>Medium Gallup, March 2008<|>Strategic Marketing, March 2008<|>CeSID, May 2008<|>Medium Gallup, May 2008","CeSID, May 2008"
Winning team,Rnd<|>Circuit<|>CA Winning Team<|>GT1 Winning Team<|>GT2 Winning Team<|>GT3 Winning Team<|>Results,CA Winning Team
Year ended,Year<|>September<|>October<|>November<|>December,Year
January,Year<|>September<|>October<|>November<|>December,December
August,Year<|>September<|>October<|>November<|>December,October
Time ( ET ),Week<|>Date<|>Kickoff ( ET )<|>Opponent<|>Result<|>Record<|>Game Site<|>NFL.com Recap,Kickoff ( ET )
Original Canadian air date,Total#<|>Series#<|>Title<|>Writer<|>Director<|>Original air date,Original air date
Points 2,Rank<|>Club 1<|>Seasons<|>Spells<|>Played 2<|>Drawn<|>Lost<|>Goals<|>Points 3,Points 3
Change (SW Eng),No. in series<|>No. in season<|>Title<|>Directedby<|>Writtenby<|>Originalairdate<|>Production code<|>U.S.viewers (million),U.S.viewers (million)
Year ended,Year<|>Winner and nominees<|>Original title<|>Country<|>Director,Year
Start Time,Cyclist<|>Nation<|>Team<|>Time<|>UCI Points,Time
Year ended,Year<|>Exhibitors (domestic)<|>Exhibitors (foreign)<|>Exhibitors (total)<|>Visitors (total)<|>Visitors (foreign in %),Year
"Area (1930) in 1,000skm 2",Year<|>Exhibitors (domestic)<|>Exhibitors (foreign)<|>Exhibitors (total)<|>Visitors (total)<|>Visitors (foreign in %),Visitors (foreign in %)
Original UK airdate,Episode no.<|>US Airdate<|>US Total viewers<|>UK Airdate<|>UK Total viewers,UK Airdate
Time ( ET ),Week<|>Date<|>Kickoff ( ET )<|>Opponent<|>Result<|>Record<|>Game Site,Kickoff ( ET )
Start Time,Place<|>Lane<|>Name<|>Nationality<|>50m Split<|>100m Split<|>150m Split<|>Time,Time
"Area (1930) in 1,000skm 2",Name<|>Hanzi<|>Hanyu Pinyin<|>Population (2010-11-01)<|>Area (km²)<|>Density (/km²),Area (km²)
Population (2000 census),Name<|>Hanzi<|>Hanyu Pinyin<|>Population (2010-11-01)<|>Area (km²)<|>Density (/km²),Population (2010-11-01)
Year ended,Year<|>FBS Opponent<|>Result<|>Opponents Conference<|>Opponents Head Coach<|>Coastal Carolina Head Coach,Year
High school,School<|>City<|>Team Name<|>Enrollment 08-09<|>IHSAA Class<|>IHSAA Class Football<|>County<|>Year Joined,School
IHSAA Class  Football Class,School<|>City<|>Team Name<|>Enrollment 08-09<|>IHSAA Class<|>IHSAA Class Football<|>County<|>Year Joined,IHSAA Class Football
Winning team,Rnd.<|>Circuit<|>LMP1 Winning Team<|>LMP2 Winning Team<|>FLM Winning Team<|>GT1 Winning Team<|>GT2 Winning Team<|>Results,FLM Winning Team
Year ended,Year<|>Main colour(s)<|>Additional colour(s)<|>Livery<|>Additional major sponsor(s),Year
Year ended,Year<|>Main colour(s)<|>Additional colour(s)<|>Main sponsor(s)<|>Additional major sponsor(s),Year
Last season,Season<|>Games<|>Won<|>Lost<|>Tied<|>Points<|>Pct %<|>Goals for<|>Goals against<|>Standing,Season
Max altitude (miles),Vehicle Flight #<|>Date<|>Pilot<|>Velocity (km/h)<|>Altitude (m),Altitude (m)
Release date,Date Released<|>Polling institute<|>Social Democratic<|>Socialist<|>Green-Communist<|>People's Party<|>Left Bloc<|>Lead,Date Released
Completed?,Pick #<|>Brand (to)<|>Employee (Real name)<|>Role<|>Brand (from),Employee (Real name)
High school,School<|>Location<|>Mascot<|># / County<|>Enrollment 08-09<|>IHSAA Class<|>Year Joined<|>Previous Conference,School
IHSAA Class  Football Class,School<|>Location<|>Mascot<|># / County<|>Enrollment 08-09<|>IHSAA Class<|>Year Joined<|>Previous Conference,IHSAA Class
Week 10 Nov 9,Week 1<|>Week 3<|>Week 4<|>Week 6<|>Week 7<|>Week 8<|>Week 9<|>Week 10<|>Final Week 12,Week 9
Day 5,Week 1<|>Week 3<|>Week 4<|>Week 6<|>Week 7<|>Week 8<|>Week 9<|>Week 10<|>Final Week 12,Week 6
Week 1 Sept 7,Week 1<|>Week 3<|>Week 4<|>Week 6<|>Week 7<|>Week 8<|>Week 9<|>Week 10<|>Final Week 12,Week 7
Year ended,Year<|>Date (Opening)<|>Date (Closing)<|>Opening Film<|>Number of Screening<|>Award-Winning Film,Year
January,Game<|>December<|>Opponent<|>Score<|>Decision<|>Location/Attendance<|>Record,December
August,Game<|>January<|>Opponent<|>Score<|>Decision<|>Location/Attendance<|>Record,January
Change (SW Eng),Year<|>Dates<|>Champion<|>Country<|>Winning score<|>To par<|>Margin of victory<|>Tournament location<|>Purse ( $ )<|>Winner's share ($),Winner's share ($)
Prize money ( $ ),Year<|>Dates<|>Champion<|>Country<|>Winning score<|>To par<|>Margin of victory<|>Tournament location<|>Purse ( $ )<|>Winner's share ($),Purse ( $ )
Year ended,Year<|>Dates<|>Champion<|>Country<|>Winning score<|>To par<|>Margin of victory<|>Tournament location<|>Purse ( $ )<|>Winner's share ($),Year
Uyghur ( K̢ona Yezik̢ ),"World record<|>Snatch<|>Marcin Dołęga ( POL )<|>199kg<|>Władysławowo , Poland",Marcin Dołęga ( POL )
Height (m ft),"Position<|>Jersey number<|>Name v t e<|>Height (cm)<|>Weight (kg)<|>Birthplace<|>2008-09 team<|>NHL rights, if any",Height (cm)
Height (m ft),"Position<|>Jersey #<|>Name<|>Height (cm)<|>Weight (kg)<|>Birthdate<|>Birthplace<|>2007–2008 Team<|>NHL rights, if any",Height (cm)
Height (m ft),"Position<|>Jersey number<|>Name v t e<|>Height (cm)<|>Weight (kg)<|>Birthplace<|>2009-10 team<|>NHL rights, if any",Height (cm)
Rushing yards,Player<|>Sacks<|>INT'S<|>Yards<|>Average<|>Long,Yards
Max. speed,Year<|>Date<|>Driver<|>Team<|>Manufacturer<|>Laps<|>Miles (km)<|>Race Time<|>Average Speed (mph),Average Speed (mph)
Year ended,Year<|>Date<|>Driver<|>Team<|>Manufacturer<|>Laps<|>Miles (km)<|>Race Time<|>Average Speed (mph),Year
Completed?,"Material<|>Resistivity (10 −6 ohm-inches)<|>Relative permeability<|>Skin depth, inches<|>Surface resistance, Relative to copper",Resistivity (10 −6 ohm-inches)
On air date,#<|>Episode<|>Air Date<|>Timeslot<|>Viewers<|>Weekly Rank for Living,Air Date
Season episode,#<|>Episode<|>Air Date<|>Timeslot<|>Viewers<|>Weekly Rank for Living,Episode
Year ended,Ranking<|>Nationality<|>Name<|>Adjusted fee<|>From<|>Year,Year
Last season,Season<|>League<|>Won Promotion<|>Won Promotion Playoffs<|>Lost Promotion Playoffs,Season
Singapore League Cup,P<|>Player<|>Position<|>SPL<|>League Cup<|>Scottish Cup<|>UEFA Champions League<|>Total,League Cup
2010 population,Regional County Municipality (RCM)<|>Population Canada 2011 Census<|>Land Area<|>Density (pop. per km2)<|>Seat of RCM,Population Canada 2011 Census
"GDP (PPP) (USD, per capita)",Regional County Municipality (RCM)<|>Population Canada 2011 Census<|>Land Area<|>Density (pop. per km2)<|>Seat of RCM,Density (pop. per km2)
"Area (1930) in 1,000skm 2",Region<|>Capital<|>Area (km²)<|>Area (sq. mi.)<|>Population<|>GDP ( bn ),Area (km²)
☵ 坎 Kǎn Water,Region<|>Capital<|>Area (km²)<|>Area (sq. mi.)<|>Population<|>GDP ( bn ),Area (sq. mi.)
Year ended,Year<|>Boys singles<|>Girls singles<|>Boys doubles<|>Girls doubles<|>Mixed doubles,Year
"Area (1930) in 1,000skm 2",Name<|>Population (2002 census)<|>Population (2007 estimation)<|>Population (2011 census)<|>Area (km²)<|>Density (pop/km²),Area (km²)
Population (Bundaberg),Name<|>Population (2002 census)<|>Population (2007 estimation)<|>Population (2011 census)<|>Area (km²)<|>Density (pop/km²),Population (2002 census)
Year ended,Year<|>Games<|>Rushes<|>Rushing Yards<|>Rushing TDs<|>Receptions<|>Receiving Yards<|>Receiving TDs,Year
"Area (1930) in 1,000skm 2",Rank<|>Province<|>Population (2011)<|>Area (km²)<|>Density (per km²),Area (km²)
Population (2000 census),Rank<|>Province<|>Population (2011)<|>Area (km²)<|>Density (per km²),Population (2011)
1976,Tournament<|>1987<|>1988<|>1989<|>1990<|>1991<|>1992<|>1993<|>1994<|>1995<|>1996<|>1997,1987
July (°C),2004/ 05<|>2007/ 08<|>2010/ 11<|>2011/ 12<|>2012/ 13,2012/ 13
1960,County<|>1900<|>1930<|>1950<|>2000<|>2006 est.,1950
Opp. Points,Stage<|>Winner<|>General classification Żółta koszulka<|>Mountains classification Klasyfikacja górska<|>Intermediate Sprints Classification Klasyfikacja najaktywniejszych<|>Points classification Klasyfikacja punktowa,Points classification Klasyfikacja punktowa
Year ended,Year<|>Team<|>Wins<|>Points<|>Championship Finish,Year
Academy Award,Year<|>Recipient<|>Award<|>Category<|>Result,Award
Year ended,Year<|>Recipient<|>Award<|>Category<|>Result,Year
Year of Issue,Author / Editor / Source<|>Year of publication<|>Countries sampled<|>World Ranking (1)<|>Ranking in Latin America (2),Year of publication
Total Apps (Sub),Player<|>L Apps<|>C Apps<|>Total Apps<|>Total G,Total Apps
High school,School<|>Titles<|>Shared Titles<|>Runners-Up<|>Total Finals<|>Last Title<|>Last Final,School
Completed?,Season<|>Episodes<|>Timeslot ( EST )<|>Season premiere<|>Season finale<|>TV season<|>Rank<|>Viewers (in millions),Viewers (in millions)
Last season,Season<|>Episodes<|>Timeslot ( EST )<|>Season premiere<|>Season finale<|>TV season<|>Rank<|>Viewers (in millions),Season
Series Ep.,Order Year<|>Fleet Series (Qty.)<|>Manufacturer<|>Model<|>Powertrain (Engine/Transmission)<|>Fuel or Propulsion<|>Division,Fleet Series (Qty.)
2010 population,Region<|>Province<|>Capital<|>No. of Communes<|>Area<|>2002 Population,2002 Population
Year ended,Year<|>Country<|>Song<|>Artist<|>Written by,Year
GAMES,Event<|>Games played<|>Goals<|>Assists<|>Points,Games played
Completed?,Rank<|>Airport<|>Total Passengers<|>% Change 2005/2006<|>International Passengers<|>Domestic Passengers<|>Transit Passengers<|>Aircraft Movements<|>Freight (Metric Tonnes),Freight (Metric Tonnes)
Total Passengers 2008,Rank<|>Airport<|>Total Passengers<|>% Change 2005/2006<|>International Passengers<|>Domestic Passengers<|>Transit Passengers<|>Aircraft Movements<|>Freight (Metric Tonnes),Total Passengers
(BH) max (kJ m 3 ),2002/ 03<|>2004/ 05<|>2006/ 07<|>2007/ 08<|>2008/ 09<|>2009/ 10<|>2010/ 11<|>2011/ 12<|>2012/ 13,2009/ 10
July (°C),2002/ 03<|>2004/ 05<|>2006/ 07<|>2007/ 08<|>2008/ 09<|>2009/ 10<|>2010/ 11<|>2011/ 12<|>2012/ 13,2012/ 13
High school,School<|>Location<|>Enrolment<|>Founded<|>Denomination<|>Day/Boarding<|>School Colours<|>Abbreviation<|>In competition since,School
Uyghur ( K̢ona Yezik̢ ),"World record<|>Snatch<|>Mu Shuangshuang ( CHN )<|>139kg<|>Doha , Qatar",Mu Shuangshuang ( CHN )
Completed?,Season<|>Season premiere<|>Season finale<|>TV season<|>Rank<|>Viewers (in millions),Viewers (in millions)
Last season,Season<|>Season premiere<|>Season finale<|>TV season<|>Rank<|>Viewers (in millions),Season
Last season,Season<|>Junior (South) Winners<|>Intermediate (South) Winners<|>Minor (South) Winners<|>Primary (South) Winners,Season
Name (English),Longi- tude<|>Usual translation<|>Chinese name ¹<|>Japanese name<|>Korean name ²<|>Vietnamese name<|>Date ³,Chinese name ¹
Start Time,Stage<|>Time<|>Name<|>Length<|>Winner<|>Rally leader,Time
year,Subjects<|>First Year<|>Second Year<|>Third Year<|>Fourth Year,First Year
Year ended,Year<|>Event<|>Location<|>Perpetrator(s)<|>Deaths,Year
Year ended,Year<|>Regular Season Champion(s)<|>Record<|>Tournament Champion<|>Tournament venue<|>Tournament city,Year
Year ended,Name<|>Number<|>Position<|>Height<|>Weight<|>Year<|>Hometown,Year
Year ended,Year<|>Competition Description<|>Location<|>Apparatus<|>Rank-Final<|>Score-Final,Year
Change (SW Eng),Year<|>Competition Description<|>Location<|>Apparatus<|>Rank-Final<|>Score-Final,Score-Final
Last season,Season<|>Games<|>Lost<|>Tied<|>Points<|>Goals for<|>Goals against<|>Coach,Season
Start Time,Date<|>Time<|>Epicenter<|>Magnitude<|>Fatalities<|>Name,Time
Original Canadian air date,No. in series<|>Title<|>Written by<|>Directed by<|>Original air date<|>TV broadcast,Original air date
Change (SW Eng),Player<|>Team<|>Matches<|>Overs<|>Wickets<|>Average<|>Economy<|>BBI<|>4wi<|>5wi,5wi
Year [A ],Name<|>Nationality<|>Position [A ]<|>Oxford United career [B ]<|>Appearances<|>Goals,Position [A ]
August,Party<|>January 2010<|>February 2010<|>March 2010<|>April 2010<|>May 2010<|>June 2010,June 2010
January,Party<|>January 2010<|>February 2010<|>March 2010<|>April 2010<|>May 2010<|>June 2010,January 2010
2009,Party<|>January 2010<|>February 2010<|>March 2010<|>April 2010<|>May 2010<|>June 2010,February 2010
Rushing yards,Place<|>Player Name<|>Yards<|>TD's<|>Long,Yards
Year ended,Year<|>Venue<|>Winner<|>Runner-up<|>Score,Year
Last season,Season<|>Order<|>Played<|>Drawn<|>Lost<|>Penalties<|>Points For<|>Points Against<|>Points Diff<|>Coach,Season
Year ended,Year<|>Builder<|>Model<|>Length (ft)<|>Propulsion<|>Fleet series<|>Total<|>Notes,Year
sequence length (aa),Year<|>Builder<|>Model<|>Length (ft)<|>Propulsion<|>Fleet series<|>Total<|>Notes,Length (ft)
High school,Year<|>Winner<|>School<|>Position<|>Points<|>% of Points Possible,School
Year ended,Year<|>Winner<|>School<|>Position<|>Points<|>% of Points Possible,Year
Standard torque (lb ft),Model<|>Power<|>Torque @rpm<|>Displacement (cc)<|>Engine,Torque @rpm
Time to ft (m) at 25° (seconds),Week<|>Date<|>Opponent<|>Time (ET)<|>Result<|>Game Site<|>Record<|>NFL Recap,Time (ET)
Date of Entry,Series number<|>Episode number<|>Date of first broadcast<|>Total viewers<|>Series average,Date of first broadcast
Episode number Production number,Series number<|>Episode number<|>Date of first broadcast<|>Total viewers<|>Series average,Episode number
Week 9 Oct 29,Week 9 Oct 23<|>Week 10 Oct 30<|>Week 11 Nov 6<|>Week 12 Nov 13<|>Week 13 Nov 20<|>Week 14 Nov 27<|>Week 15 (Final) Dec 3,Week 9 Oct 23
Week 15 (Final) Dec 9,Week 9 Oct 23<|>Week 10 Oct 30<|>Week 11 Nov 6<|>Week 12 Nov 13<|>Week 13 Nov 20<|>Week 14 Nov 27<|>Week 15 (Final) Dec 3,Week 15 (Final) Dec 3
Week 10 Nov 9,Week 9 Oct 23<|>Week 10 Oct 30<|>Week 11 Nov 6<|>Week 12 Nov 13<|>Week 13 Nov 20<|>Week 14 Nov 27<|>Week 15 (Final) Dec 3,Week 11 Nov 6
3 September 2004,Rank<|>Rider<|>Mon 30 May<|>Tues 31 May<|>Wed 1 June<|>Thurs 2 June<|>Fri 3 June,Fri 3 June
Mon 1 June,Rank<|>Rider<|>Mon 30 May<|>Tues 31 May<|>Wed 1 June<|>Thurs 2 June<|>Fri 3 June,Wed 1 June
US Air Force equivalent,Medal of Honor<|>Coast Guard Cross<|>Navy Cross<|>Distinguished Service Cross<|>Air Force Cross<|>Homeland Security Distinguished Service Medal,Air Force Cross
Year ended,Year<|>Type<|>Nos.<|>GSWR Class<|>GSWR Nos.<|>GSR Class<|>Inchicore Class<|>Withdrawn,Year
2nd pers. sing.,Recipient<|>First place(s)<|>Second place(s)<|>Third place(s)<|>Total placings(s),Third place(s)
Time (greatest),Recipient<|>First place(s)<|>Second place(s)<|>Third place(s)<|>Total placings(s),First place(s)
Total Apps (Sub),Recipient<|>First place(s)<|>Second place(s)<|>Third place(s)<|>Total placings(s),Total placings(s)
2nd pers. sing.,Sporting profession<|>First place(s)<|>Second place(s)<|>Third place(s)<|>Total placing(s),Third place(s)
Time (greatest),Sporting profession<|>First place(s)<|>Second place(s)<|>Third place(s)<|>Total placing(s),First place(s)
Total Apps (Sub),Sporting profession<|>First place(s)<|>Second place(s)<|>Third place(s)<|>Total placing(s),Total placing(s)
year,Year ended<|>Revenue (£million)<|>Profit/(loss) before tax (£m)<|>Net profit (£m)<|>Earnings per share (p),Year ended
Max. Demand Charge ( Rs.  kVA),Year ended<|>Revenue (£million)<|>Profit/(loss) before tax (£m)<|>Net profit (£m)<|>Earnings per share (p),Profit/(loss) before tax (£m)
Regional County Municipality (RCM),Code<|>Type<|>Name<|>Area (km 2 )<|>Population<|>Regional County Municipality<|>Metropolitan area<|>Region,Regional County Municipality
Cross-section area (cm 2 ),Code<|>Type<|>Name<|>Area (km 2 )<|>Population<|>Regional County Municipality<|>Metropolitan area<|>Region,Area (km 2 )
Date of designation,Club<|>Outgoing Head Coach<|>Date of vacancy<|>Manner of departure<|>Incoming Head Coach<|>Date of appointment,Date of appointment
Season episode,Episode<|>First broadcast Denmark ( DR1 )<|>Official TNS Gallup ratings<|>First broadcast UK ( BBC Four )<|>Official BARB ratings,Episode
Original air date,Episode<|>Title<|>Original Danish air date<|>Danish ratings (DR1)<|>Original UK air date<|>UK ratings (BBC Four),Original UK air date
Original Canadian air date,Episode<|>Title<|>Original Danish air date<|>Danish ratings (DR1)<|>Original UK air date<|>UK ratings (BBC Four),Original Danish air date
Season episode,Episode<|>Title<|>Original Danish air date<|>Danish ratings (DR1)<|>Original UK air date<|>UK ratings (BBC Four),Episode
Fastest laps,No<|>Date<|>Round<|>Circuit<|>Pole Position<|>Fastest Lap<|>Race Winner<|>Report,Fastest Lap
Year ended,Year<|>Tournaments played<|>Cuts made<|>Wins<|>2nd<|>3rd<|>Top 10s<|>Best finish<|>Earnings ($)<|>Money list rank<|>Scoring average<|>Scoring rank,Year
Weeks in top 12,Driver<|>Points<|>Wins<|>Top 5<|>Top 10,Top 10
Original U.S. air date,Episode #<|>US Air Date<|>Rating<|>Share<|>Rating/Share (18-49)<|>Viewers (millions),US Air Date
Start,Stage<|>Start time<|>Stage name<|>Distance<|>Winning driver<|>Time<|>Avg. Speed<|>Rally leader,Start time
Conduction speed (m s),Stage<|>Start time<|>Stage name<|>Distance<|>Winning driver<|>Time<|>Avg. Speed<|>Rally leader,Avg. Speed
Year ended,Location<|>Year<|>Champions<|>Runners-up<|>Score,Year
Year ended,Year<|>Film<|>Director<|>Producer<|>Cinematographer,Year
Year ended,Auction House<|>Year<|>Event<|>Price<|>GBP Price,Year
"Area (1930) in 1,000skm 2",Municipality<|>No. of s Barangay<|>Area (km²)<|>Population (2007)<|>Population (2010),Area (km²)
Population (2000 census),Municipality<|>No. of s Barangay<|>Area (km²)<|>Population (2007)<|>Population (2010),Population (2007)
Year ended,Year<|>Network<|>Lap-by-lap<|>Color commentator(s)<|>Pit reporters<|>Host<|>Ratings<|>Viewers,Year
Last season,Season<|>Cars Entered<|>Winning Driver<|>Second Driver<|>Third Driver<|>Race Report,Season
Start Time,Week<|>Date<|>Opponent<|>Result<|>Record<|>Time,Time
Population 2007 census(hab),Name<|>Subdivisions<|>Area (km²)<|>Population (1 July 2005 est.)<|>Population density (per km²)<|>Capital,Population (1 July 2005 est.)
"Area (1930) in 1,000skm 2",Name<|>Subdivisions<|>Area (km²)<|>Population (1 July 2005 est.)<|>Population density (per km²)<|>Capital,Area (km²)
Population (2000 census),Name<|>Subdivisions<|>Area (km²)<|>Population (1 July 2005 est.)<|>Population density (per km²)<|>Capital,Population density (per km²)
Year ended,Publisher<|>Year<|>Platform<|>Type<|>Metacritic score,Year
2009,Tournament<|>1999<|>2002<|>2004<|>2006<|>2007<|>2010<|>2011<|>2012,2010
1991,Tournament<|>1999<|>2002<|>2004<|>2006<|>2007<|>2010<|>2011<|>2012,1999
Last season,Season<|>Conf.<|>Conf. finish<|>Div.<|>Div. Finish<|>Head coach,Season
Population (Bundaberg),Rank<|>City<|>State<|>GDP in $ID B<|>Population M (LUZ)<|>GDP per capita $ID K<|>Eurozone,Population M (LUZ)
GDP per capita in PPP US$ (2012),Rank<|>City<|>State<|>GDP in $ID B<|>Population M (LUZ)<|>GDP per capita $ID K<|>Eurozone,GDP per capita $ID K
Date of designation,Name<|>Club<|>Date of departure<|>Replacement<|>Date of appointment,Date of appointment
Date of Entry,Name<|>Club<|>Date of departure<|>Replacement<|>Date of appointment,Date of departure
Year ended,Year<|>Title<|>Production Company<|>Role<|>Notes,Year
Start Time,Title<|>Lyricist(s)<|>Composer(s)<|>Arranger(s)<|>Time,Time
Last season,Season<|>Premier Division<|>Division One<|>Division Two<|>Division Three<|>Division Four<|>Division Five,Season
Cross-section area (cm 2 ),Rank<|>Common of<|>Population<|>Area (km 2 )<|>Density (inhabitants/km 2 )<|>Altitude (mslm),Area (km 2 )
Density (inhabitants km 2 ),Rank<|>Common of<|>Population<|>Area (km 2 )<|>Density (inhabitants/km 2 )<|>Altitude (mslm),Density (inhabitants/km 2 )
Max altitude (miles),Rank<|>Common of<|>Population<|>Area (km 2 )<|>Density (inhabitants/km 2 )<|>Altitude (mslm),Altitude (mslm)
Points per Game,Name<|>Years<|>A-League<|>Finals<|>Total<|>Games per goal,Games per goal
Year ended,Year<|>President<|>Chair of Global Ministries<|>Chair of Pastoral<|>Chair of Music<|>Dean of Students<|>Dean of Men<|>Dean of Women<|>Assistant Dean of Men<|>Assistant Dean of Women,Year
Year ended,Year<|>Production<|>Role<|>Director<|>Company,Year
Start Time,Title<|>English translation<|>lyrics by<|>music by<|>time,time
Total Apps (Sub),Player<|>Total W–L<|>Singles W–L<|>Doubles W–L<|>Ties played<|>Debut<|>Years played,Total W–L
Year ended,Opposition<|>Score<|>Venue<|>City<|>Year,Year
Year ended,Year<|>Summits<|>Country<|>Continent<|>Elevation ft<|>Elevation m,Year
Number of episode,Rank<|>Show<|>Episode<|>Number of Viewers<|>Date,Number of Viewers
Season episode,Rank<|>Show<|>Episode<|>Number of Viewers<|>Date,Episode
Year ended,Year<|>Tournaments played<|>Cuts made*<|>Wins<|>Top 10s<|>Best finish<|>Earnings ($)<|>Money list rank<|>Scoring average<|>Scoring rank,Year
Last season,Season<|>Premiers<|>Runners Up<|>Score<|>Captain<|>Coach<|>Simpson Medal<|>Venue<|>Attendance<|>Umpires,Season
On air date,Station<|>City of license<|>Channels TV / RF<|>First air date<|>HAAT<|>Facility ID<|>Public license information,First air date
On air date,Episode<|>Air Date<|>Timeslot<|>Rating<|>Share<|>18-49<|>Viewers<|>Weekly Rank,Air Date
Season episode,Episode<|>Air Date<|>Timeslot<|>Rating<|>Share<|>18-49<|>Viewers<|>Weekly Rank,Episode
Original Canadian air date,No.<|>Title<|>Directed by<|>Written by<|>U.S. viewers (million)<|>Rank (week)<|>Original air date,Original air date
2nd pers. sing.,Rider<|>Years active<|>Races<|>Wins<|>2nd pl.<|>3rd pl.<|>Titles,2nd pl.
2nd pers. sing.,Rider<|>Years active<|>Races<|>Wins<|>2nd pl.<|>3rd pl.<|>Titles.,2nd pl.
Points classification Klasyfikacja punktowa,Date<|>Location<|>Opponent<|>Irish Points<|>Opp. Points<|>Record,Opp. Points
Open Cup,Year<|>Division<|>League<|>Regular Season<|>Playoffs<|>U.S. Open Cup,U.S. Open Cup
Year ended,Year<|>Division<|>League<|>Regular Season<|>Playoffs<|>U.S. Open Cup,Year
Year ended,Year<|>Winner<|>Collingwood Score<|>Melbourne Score<|>Margin<|>Attendance<|>Three Brownlow Votes (Best On Ground),Year
GAMES,No.<|>Player<|>Club<|>Games Played<|>Minutes<|>Goals Against<|>GA Average<|>Wins<|>Loses,Games Played
Last season,Season<|>Club<|>League<|>Apps.<|>Goals,Season
Start Time,Cyclist<|>Country<|>Team<|>Time<|>UCI ProTour Points,Time
Year ended,Year<|>Team name<|>Drivers<|>Races<|>Wins<|>Poles<|>FLaps<|>Points<|>D.C.<|>T.C.,Year
"Area (1930) in 1,000skm 2",#<|>Name<|>Name (English)<|>Population 2008-07-01<|>Area (km²)<|>Pop./ km²<|>ISO 3166-2<|>Administrative centre,Area (km²)
